name,sourceid
Bhageria Dye-Chem Limited,54520
Bhagiradha Chemicals & Industries Limited,54522
Bhagwandas Metals Limited,54524
Bhagwati Autocast Limited,54526
Bhagwati Banquets and Hotels Limited,54528
Bhagyanagar India Limited,54531
Bhagyanagar Woodplast Limited,54534
Bhagyashree Leasing & Finance Limited,54536
Bhagyodaya Infrastructure Development Limited,54538
Bhandari Consultancy & Finance Limited,54540
Bhandari Hosiery Exports Limited,54542
Bhansali Engineering Polymers Limited,54544
Bharat Bhushan Share and Commodity Brokers Limited,54547
Bharat Bijlee Limited,54549
Bharat Electronics Limited,54552
Bharat Fertiliser Industries Limited,54555
Bharat Forge Limited,54557
Bharat Gears Limited,54560
Bharat Heavy Electricals Limited,54563
Bharat Hotels Limited,54566
Bharat Immunologicals & Biologicals Corporation Limited,54569
Bharat Petroleum Corporation Limited,54571
Bharat Rasayan Limited,54574
Bharat Seats Limited,54577
Bharati Shipyard Limited,54579
Bharti Airtel Limited,54582
Bhartiya International Limited,54585
Bhatia Industries & Infrastructure Limited,54588
Bheema Cements Limited,54590
Bhilwara Spinners Limited,54592
Bhilwara Technical Textiles Limited,54594
Bhilwara Tex-Fin Limited,54596
Bholanath International Limited,54598
Bhoruka Aluminium Limited,54600
Bhushan Steel Limited,54602
Bhuwalka Steel Industries Limited,54605
Bihar Sponge Iron Limited,54608
Bihar Tubes Limited,54610
Bijlee Textiles Limited,54612
Bijoy Hans Limited,54614
Bilcare Limited,54616
Bilpower Limited,54618
Bimetal Bearings Limited,54621
Binani Cement Limited,54624
Binani Industries Limited,54627
Binayak Tex Processors Limited,54630
Binny Limited,54632
Bio Green Industries Limited,54634
Bio Whitegold Industries Limited,54636
Biocon Limited,54638
Biofil Chemicals & Pharmaceuticals Limited,54641
Biopac India Corporation Limited,54644
Birla Capital and Financial Services Limited,54646
Birla Corporation Limited,54648
Birla Cotsyn (India) Limited,54651
Birla Ericsson Optical Limited,54654
Birla Power Solutions Limited,54657
Birla Precision Technologies Limited,54660
Birla Shloka Edutech Limited,54662
Birla Transasia Carpets Limited,54664
Bisil Plast Limited,54666
Black Rose Industries Limited,54668
Bliss GVS Pharma Limited,54670
Bloom Dekor Limited,54672
Blue Bird (India) Limited,54674
Blue Blends Finance Limited,54677
Blue Chip India Limited,54679
Blue Chiptex Industries Limited,54682
Blue Coast Hotels Limited,54684
Blue Dart Express Limited,54687
Blue Star Infotech Limited,54690
Blue Star Limited,54693
Bodal Chemicals Limited,54696
Bokadia Films Limited,54698
Bombay Burmah Trdg Corporation Limited,54700
Bombay Cycle & Motor Agency Limited,54703
Bombay Dyeing and Manufacturing Company Limited,54705
Bombay Oxygen Corporation Limited,54708
Bombay Potteries & Tiles Limited,54710
Bombay Rayon Fashions Limited,54712
Bombay Swadeshi Stores Limited,54715
Bombay Talkies Limited,54717
Borax Morarji Limited,54719
Borosil Glass Works Limited,54721
Bosch Limited,54724
Brady & Morris Engg Company Limited,54727
Brahmanand Himghar Limited,54729
Brahmaputra Infraproject Limited,54731
Brakes Auto (India) Limited,54733
Brand Realty Services Limited,54735
Brandhouse Retails Limited,54737
Brawn Pharmaceuticals Limited,54740
Brescon Corporate Advisors Limited,54742
Bridge Securities Limited,54744
Brigade Enterprises Limited,54746
Bright Brothers Limited,54749
Brijlaxmi Leasing & Finance Limited,54752
Brilliant Securities Limited,54754
Brindavan Holdings Limited,54756
Britannia Industries Limited,54758
Broadcast Initiatives Limited,54761
Brushman (India) Limited,54764
Burnpur Cement Limited,54766
Burroughs Wellcome (India) Limited,54769
C & C Constructions Limited,54772
C C A P Limited,54775
C C L Products (India) Limited,54777
C E R A Sanitaryware Limited,54780
C E S C Limited,54783
C F L Capital Financial Services Limited,54786
C G Impex Limited,54789
C H L Limited,54791
C J Gelatine Products Limited,54793
C M C Limited,54795
C P E C Limited,54798
C S S Technergy Limited,54800
CCL International Limited,54802
CCS Infotech Limited,54804
CG-Vak Software & Exports Limited,54806
CHD Developers Limited,54808
CIL Securities Limited,54810
CMI FPE Limited,54812
CRISIL Limited,54815
Cable Corporation Of India Limited,54818
Cadila Healthcare Limited,54821
Cairn India Limited,54824
Calcom Vision Limited,54827
California Software Company Limited,54829
Cals Refineries Limited,54832
Cambridge Solutions limited,54834
Cambridge Technology Enterprises Limited,54837
Camex Limited,54840
Camlin Fine Chemicals Limited,54842
Camlin Limited,54844
Camphor & Allied Products Limited,54847
Camson Bio Technologies Limited,54850
Can Fin Homes Limited,54852
Canara Bank,54855
Capital Trust Limited,54858
Caplin Point Laboratories Limited,54860
Capman Financials Limited,54862
Caprihans India Limited,54864
Carborundum Universal Limited,54867
Carnation Industries Limited,54870
Carol Info Services Limited,54872
Carrier Airconditioning and Refrigeration Limited,54875
